mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased
0.01037907600402832,0.00047908349213275755,0.011983275413513184,7.634840824375538e-05,0.0015199110829529332,{'var_smoothing': 0.0015199110829529332},0.6533668974197608,0.6487098804279421,0.6481621349446123,0.6547079556898288,0.651236717120536,0.0028471531632359563,68,0.5482661937404262,0.5513192374808686,0.5472189481895793,0.5554331158596554,0.5505593738176324,0.003191703014142244,69,0.07625649913344888,0.09050996285038838,0.078002052685597,0.09403747870528109,0.08470149834367885,0.007699015732941187,69
0.009822249412536621,0.0007384587707322099,0.012051641941070557,0.00019098164381455755,0.0012328467394420659,{'var_smoothing': 0.0012328467394420659},0.6533668974197608,0.6488357457520453,0.6481621349446123,0.6547079556898288,0.6512681834515618,0.0028196153931440014,66,0.5482661937404262,0.5517704329674081,0.5472189481895793,0.5554331158596554,0.5506721726892673,0.00322437008025285,67,0.07625649913344888,0.09176788124156544,0.078002052685597,0.09403747870528109,0.08501597794147311,0.007951403817698294,68
0.010028183460235596,0.00042590399138180444,0.011860191822052002,0.0001983824804508713,0.001,{'var_smoothing': 0.001},0.653492762743864,0.6487098804279421,0.6479103726082578,0.6545820745216515,0.6511737725754289,0.0029032215476132387,71,0.5485342561531881,0.5516970107797027,0.5470758836788515,0.5553595243368875,0.5506666687371574,0.003182978917923357,68,0.07692307692307691,0.09173693086003372,0.07794871794871795,0.09400544959128065,0.0851535438307773,0.007767678576630176,67
0.010167360305786133,0.0005729314786624509,0.012024223804473877,0.00011862089561332662,0.0008111308307896872,{'var_smoothing': 0.0008111308307896872},0.653492762743864,0.6488357457520453,0.6479103726082578,0.654833836858006,0.6512681794905433,0.0029518758469828763,67,0.5485342561531881,0.5521472333937513,0.5470758836788515,0.5559222619829641,0.5509199088021887,0.0034277445466661983,66,0.07692307692307691,0.09299191374663072,0.07794871794871795,0.0952705001701259,0.08578355219713787,0.008394273462498823,66
0.009965837001800537,0.0006429759741286138,0.012288868427276611,0.00011057525919731632,0.0006579332246575676,{'var_smoothing': 0.0006579332246575676},0.6537444933920705,0.649213341724355,0.6479103726082578,0.654833836858006,0.6514255111456724,0.0029259295662358866,62,0.5491068481173849,0.5529317578867531,0.5470758836788515,0.5559222619829641,0.5512591879164883,0.0034159314619260682,65,0.07822776047075113,0.09491753618310332,0.07794871794871795,0.0952705001701259,0.08659112869317458,0.008504377437869854,65
0.010250449180603027,0.000672094119483782,0.011911869049072266,0.0002856318758878701,0.0005336699231206307,{'var_smoothing': 0.0005336699231206307},0.6537444933920705,0.6489616110761485,0.6479103726082578,0.6552114803625377,0.6514569893597537,0.0030876479943531447,60,0.5491068481173849,0.5527841320336514,0.5470758836788515,0.5567108825338049,0.5514194365909232,0.0036768298561991757,60,0.07822776047075113,0.09485368314833502,0.07794871794871795,0.09721278042148199,0.08706073549732152,0.009011719603656185,60
0.009997010231018066,0.0003916781713833669,0.01217418909072876,0.0002620948667131977,0.0004328761281083057,{'var_smoothing': 0.0004328761281083057},0.6537444933920705,0.6489616110761485,0.6477844914400805,0.6552114803625377,0.6514255190677094,0.003124062644179002,61,0.5491068481173849,0.5527841320336514,0.5470043295259691,0.5567108825338049,0.5514015480527026,0.003698031559546004,61,0.07822776047075113,0.09485368314833502,0.07792207792207792,0.09721278042148199,0.08705407549066152,0.0090184585976267,61
0.009851574897766113,0.0004492366766148703,0.012209415435791016,0.0005478755455683048,0.0003511191734215131,{'var_smoothing': 0.0003511191734215131},0.6537444933920705,0.6488357457520453,0.6477844914400805,0.6552114803625377,0.6513940527366835,0.0031492535756395515,63,0.5491068481173849,0.5527102983514073,0.5470043295259691,0.5567108825338049,0.5513830896321416,0.003691262510592342,62,0.07822776047075113,0.09482178883658372,0.07792207792207792,0.09721278042148199,0.08704610191272369,0.00901157059850593,62
0.010280847549438477,0.00048758205373379646,0.012083947658538818,0.0003068217566361963,0.0002848035868435802,{'var_smoothing': 0.0002848035868435802},0.6536186280679672,0.6488357457520453,0.6476586102719033,0.6552114803625377,0.6513311161136134,0.0031624401197662693,64,0.5490371553700818,0.5527102983514073,0.5469327607527891,0.5567108825338049,0.5513477742520208,0.003723261546665808,63,0.0782006920415225,0.09482178883658372,0.07789545609839425,0.09721278042148199,0.08703267934949563,0.009024931204535158,63
0.009839773178100586,0.0005455585753120927,0.012012064456939697,0.0001355708267799196,0.0002310129700083158,{'var_smoothing': 0.0002310129700083158},0.6536186280679672,0.6488357457520453,0.6476586102719033,0.6552114803625377,0.6513311161136134,0.0031624401197662693,64,0.5490371553700818,0.5527102983514073,0.5469327607527891,0.5567108825338049,0.5513477742520208,0.003723261546665808,63,0.0782006920415225,0.09482178883658372,0.07789545609839425,0.09721278042148199,0.08703267934949563,0.009024931204535158,63
